txn_id,txn_date,customer_id,kind,amount
T0001,2026-08-09,C007,refund,62.79
T0002,2026-08-10,C036,purchase,224.23
T0003,2026-08-14,C032,purchase,145.28
T0004,2026-08-04,C001,purchase,148.7
T0005,2026-08-14,C007,purchase,32.13
T0006,2026-08-11,C032,purchase,204.62
T0007,2026-08-05,C023,purchase,56.51
T0008,2026-08-13,C025,purchase,232.68
T0009,2026-08-02,C022,purchase,130.83
T0010,2026-08-05,C030,refund,66.88
T0011,2026-08-12,C037,refund,79.15
T0012,2026-08-06,C024,purchase,212.71
T0013,2026-08-10,C036,purchase,27.22
T0014,2026-08-09,C039,purchase,33.53
T0015,2026-08-09,C017,purchase,102.55
T0016,2026-08-08,C033,purchase,143.18
T0017,2026-08-04,C009,purchase,11.22
T0018,2026-08-09,C007,purchase,240.87
T0019,2026-08-03,C031,purchase,110.21
T0020,2026-08-02,C030,purchase,213.16
T0021,2026-08-09,C017,purchase,180.06
T0022,2026-08-05,C036,purchase,169.09
T0023,2026-08-08,C026,purchase,127.97
T0024,2026-08-05,C001,purchase,77.12
T0025,2026-08-10,C030,refund,80.4
T0026,2026-08-06,C013,purchase,232.1
T0027,2026-08-09,C032,refund,60.84
T0028,2026-08-01,C019,purchase,141.67
T0029,2026-08-02,C029,purchase,229.62
T0030,2026-08-09,C017,purchase,197.35
T0031,2026-08-07,C031,purchase,241.49
T0032,2026-08-08,C024,purchase,163.89
T0033,2026-08-07,C010,refund,90.97
T0034,2026-08-01,C029,purchase,8.44
T0035,2026-08-02,C040,purchase,233.38
T0036,2026-08-10,C003,purchase,65.72
T0037,2026-08-11,C023,purchase,239.31
T0038,2026-08-10,C037,refund,41.05
T0039,2026-08-08,C009,purchase,237.73
T0040,2026-08-03,C039,purchase,120.88
T0041,2026-08-02,C027,purchase,128.66
T0042,2026-08-13,C038,purchase,234.09
T0043,2026-08-13,C010,purchase,105.95
T0044,2026-08-01,C007,purchase,53.19
T0045,2026-08-14,C023,purchase,22.99
T0046,2026-08-01,C002,purchase,233.96
T0047,2026-08-05,C029,purchase,85.3
T0048,2026-08-08,C037,purchase,34.74
T0049,2026-08-10,C034,purchase,46.83
T0050,2026-08-08,C039,refund,76.68
T0051,2026-08-09,C026,refund,86.75
T0052,2026-08-03,C003,refund,79.43
T0053,2026-08-01,C029,purchase,233.08
T0054,2026-08-08,C002,purchase,162.01
T0055,2026-08-13,C034,refund,65.94
T0056,2026-08-11,C012,purchase,38.74
T0057,2026-08-07,C006,purchase,109.21
T0058,2026-08-03,C017,purchase,50.86
T0059,2026-08-14,C027,purchase,249.81
T0060,2026-08-09,C031,purchase,48.36
T0061,2026-08-09,C018,purchase,134.18
T0062,2026-08-04,C001,purchase,212.73
T0063,2026-08-11,C022,purchase,220.26
T0064,2026-08-14,C012,purchase,196.91
T0065,2026-08-03,C023,purchase,91.23
T0066,2026-08-09,C014,purchase,145.22
T0067,2026-08-09,C037,refund,87.34
T0068,2026-08-10,C018,purchase,144.61
T0069,2026-08-13,C017,purchase,37.49
T0070,2026-08-02,C004,refund,55.15
T0071,2026-08-03,C007,purchase,181.98
T0072,2026-08-14,C005,purchase,72.81
T0073,2026-08-05,C017,purchase,82.08
T0074,2026-08-13,C017,refund,52.34
T0075,2026-08-02,C016,purchase,8.78
T0076,2026-08-11,C036,refund,19.15
T0077,2026-08-06,C021,purchase,234.35
T0078,2026-08-11,C040,purchase,153.78
T0079,2026-08-10,C014,refund,51.48
T0080,2026-08-11,C008,purchase,109.4
T0081,2026-08-11,C017,purchase,216.02
T0082,2026-08-06,C004,purchase,237.03
T0083,2026-08-01,C019,purchase,112.0
T0084,2026-08-13,C008,purchase,75.94
T0085,2026-08-10,C002,purchase,107.08
T0086,2026-08-09,C004,purchase,88.91
T0087,2026-08-10,C008,purchase,32.59
T0088,2026-08-06,C039,refund,19.45
T0089,2026-08-01,C028,purchase,165.67
T0090,2026-08-07,C025,purchase,92.21
T0091,2026-08-04,C009,refund,53.41
T0092,2026-08-12,C035,refund,8.27
T0093,2026-08-05,C010,purchase,102.23
T0094,2026-08-09,C031,refund,6.91
T0095,2026-08-03,C038,purchase,239.83
T0096,2026-08-01,C033,refund,25.62
T0097,2026-08-09,C021,purchase,88.47
T0098,2026-08-11,C016,refund,101.68
T0099,2026-08-11,C033,purchase,242.7
T0100,2026-08-14,C026,purchase,232.17
T0101,2026-08-13,C015,purchase,93.18
T0102,2026-08-14,C013,purchase,72.56
T0103,2026-08-08,C036,purchase,117.52
T0104,2026-08-11,C038,purchase,224.77
T0105,2026-08-07,C010,purchase,43.78
T0106,2026-08-06,C034,purchase,6.3
T0107,2026-08-11,C012,purchase,199.86
T0108,2026-08-12,C017,refund,47.87
T0109,2026-08-01,C035,refund,90.04
T0110,2026-08-10,C020,refund,102.6
T0111,2026-08-07,C035,purchase,239.11
T0112,2026-08-11,C011,purchase,131.57
T0113,2026-08-03,C025,purchase,30.71
T0114,2026-08-01,C038,purchase,69.05
T0115,2026-08-05,C019,purchase,51.5
T0116,2026-08-07,C013,purchase,92.52
T0117,2026-08-14,C039,purchase,159.31
T0118,2026-08-06,C035,purchase,235.11
T0119,2026-08-03,C021,refund,64.36
T0120,2026-08-02,C033,purchase,45.16
T0121,2026-08-13,C001,purchase,177.57
T0122,2026-08-05,C014,purchase,20.58
T0123,2026-08-04,C009,purchase,151.88
T0124,2026-08-02,C005,refund,42.52
T0125,2026-08-11,C008,purchase,156.15
T0126,2026-08-02,C036,purchase,227.83
T0127,2026-08-11,C030,purchase,208.02
T0128,2026-08-02,C006,purchase,89.55
T0129,2026-08-05,C015,purchase,195.6
T0130,2026-08-09,C022,refund,54.75
T0131,2026-08-11,C032,purchase,225.04
T0132,2026-08-13,C030,purchase,48.3
T0133,2026-08-06,C023,refund,84.25
T0134,2026-08-07,C014,purchase,201.79
T0135,2026-08-11,C009,refund,90.45
T0136,2026-08-02,C021,purchase,85.6
T0137,2026-08-05,C010,refund,104.68
T0138,2026-08-06,C010,purchase,70.7
T0139,2026-08-05,C037,purchase,35.19
T0140,2026-08-01,C036,purchase,103.3
T0141,2026-08-06,C007,purchase,170.16
T0142,2026-08-11,C035,purchase,231.11
T0143,2026-08-11,C022,purchase,108.99
T0144,2026-08-03,C001,refund,50.97
T0145,2026-08-03,C022,refund,85.69
T0146,2026-08-14,C031,purchase,154.87
T0147,2026-08-01,C003,purchase,123.31
T0148,2026-08-11,C018,purchase,160.89
T0149,2026-08-13,C030,purchase,196.04
T0150,2026-08-06,C006,purchase,157.59
